*Short Form	EN	HU	NL	ES	RO	PL	CS	BS	PT-BR	PT-PT	ET	FR-CA	FR-FR	KR	ZH-CN	ZH-TW	SR	RU	TR	FI	BG	UA	DE	CAT	IT	JP	LT	AR	KZ	NO	FIL	HIN	TH	ID	GE	LV	VN	GR	BRL	SK	SW	FA
Return	Return	Vissza	Terug	Volver	Inapoi	Powrót	Vrátit se	Vrati Se	Voltar	Voltar	Mine tagasi	Retour	Retour	뒤로 가기	返回	返回	Vrati	Вернуться	Geri dön	Palaa	Върни	Повернути	Zurück	Torna	Indietro	戻る	Grįšti	إرجاع	Кайтару	Tilbake	Bumalik	वापस करना	กลับ	kembali	უკან	Atgriezties	Trở Về	Επιστροφή	Вярнуцца	Vrátiť	Återgå	برگشت
Are you sure want to delete?	Are you sure want to delete?	Biztos, hogy ki akarod törölni?	Ben je zeker dat je het wilt verwijderen?	Estás seguro de que quieres eliminar?	Esti sigur ca vrei sa stergi?	Czy na pewno chcesz usunąć?	Jste si jistý, že chcete smazat uloženou hru?	Da li ste sigurni da želite da izbrišete?	Você tem certeza de que quer deletar?	Tens a certeza de que queres eliminar?	Kas oled kindel kustutama?	Voulez-vous vraiment supprimer?	Voulez-vous vraiment supprimer?	정말 지우시겠습니까?	你确定要删除吗？	你確定要刪除嗎？	Da li ste sigurni da želite da obrišete?	Вы уверены что хотите удалить?	Silmek istediğinden emin misin?	Oletko varma että haluat poistaa?	Сигурен ли си, че искаш да го Изтриеш?	Ти впевнений що хочеш видалити?	Bist du dir sicher, das du diese Datei löschen willst?	Estàs segur de que ho vols eliminar	Sei sicuro di voler eliminare?	消去してもよろしいですか？	Ar tu tikrai nori ištrinti?	هل أنت متأكد من أنك تريد حذفها	Сіз шынымен жойғыңыз келе ме?	Er du sikker på at du vil slette?	sigurado ka bang gusto mong tanggalin?	क्या आप वाकई हटाना चाहतेहैं?	คุณต้องการลบใช่หรือไหม	Anda Yakin Ingin Menghapus Data Yang Ada?	მართლა გინდათ რომ წაშალოთ?	Vai tu esi pārliecināts, kā gribi dzēst?	Bạn có chắc chắn muốn xóa Không?	Είστε σίγουρος οτι θέλετε να κάνετε διαγραφή;	Вы ўпэўнены, што хочаце выдаліць?	Určite chceš odstrániť?	Är du säker?	آیا شما مطمئن هستید که حذف کنید؟
Yes	Yes	Igen	Ja	Sí	Da	Tak	Ano	Da	Sim	Sim	Jah	Oui	Oui	네	是	是	Da	Да	Evet	Kyllä	Да	Так	Ja	Sí	Sì	はい	Taip	نعم	Иә	Ja	Oo	हां	ใช่	Ya	კი	Jā	Có	Ναι	Так	Áno	Ja	اره
No	No	Nem	Nee	No	Nu	Nie	Ne	Ne	Não	Não	Ei	Non	Non	아니오	否	否	Ne	Нет	Hayır	En	Не	Ні	Nein	No	No	いいえ	Ne	لا	Жоқ	Nei	Hindi	नहीं	ไม่	Tidak	არა	Nē	Không	Όχι	Няма	Nie	Nej	نه
Version	Version	Verzió	Versie	Versión	Versiune	Wersja	Verze	Verzija	Versão	Versão	Versioon	Version	Version	버전	版本	版本	Verzija	Версия	Versiyon	Versio	Версия	Версія	Version	Versió	Versione del Gioco	バージョン	Versija	فيريزون	Нұсқа	Versjon	Bersyon	सस्ं करण	เวอร์ชั่น	Versi	ვერსია	Versija	Phiên Bản	Έκδοση	Версія	Verzia	version	نسخه
Highest Benchmark	Highest Benchmark	Legmagasabb Benchmark pont	Hoogste Benchmark	Record Personal	Cel mai mare scor	Najwyższy benchmark	Nejvyšší hodnocení PC	Najviši Benčmark	Melhor Benchmark	Melhor Benchmark	Kõrgeim jõudlustest	Plus haut score de benchmark	Indice de référence le plus élevé	벤치마크 최고 기록	最高分数	最高分數	Najveći benčmark	Лучший Результат	En Yüksek Puan	Isoin Pistemäärä	Най-Висок Показател	Найкращий результат	Höchster Benchmark	Benchmark més alt	Benchmark Più Alto	最大ベンチマークスコア	Aukščiausias lyginamasis standartas	أعلى معيار	Ең жоғары эталон	Høyeste benchmark	Pinakamataas na benchmark	उच्चतम बेंचमार्क	สถิติสูงสุด	Benchmark Tertinggi	უმაღლესი Benchmark	Augstākais Benchmark	Điểm Benchmark Cao Nhất	Υψηλότερo Benchmark	Найвышэйшы эталон	Najvýšší Benchmark	Högsta Benchmark	بالاترین بنچمارک
Made By {0}	Made By {0}	{0} Készítette	Gemaakt Door {0}	Hecho por {0}	Facut de {0}	Twórca:{0}	Vytvořeno díky {0}	Napravio {0}	Feito Por {0}	Feito Por {0}	Mängu tegi {0}	Créé par {0}	Créé par {0}	{0} 제작	{0}制作	{0}製作	Igricu napravio {0}	Сделано {0}	Yapımcı {0}	Tekijä {0}	Направено от {0}	Зроблено {0}	Erstellt von {0}	Creat per {0}	Creato da {0}	開発者:{0}	Pagamino {0}	مصنوع بواسطة {0}	{0} жасаған	Laget av {0}	Ginawa ni {0}	{0} द्वारा नि र्मि तर्मि	สร้างโดย	Dibuat Oleh {0}	{0} -სგან	Veidoja {0}	Được Làm Bởi {0}	Δημιουργήθηκε απο {0}	Зроблена {0}	Tvorca {0}	Gjort av {0}	ساخته شده توسط {0}
Languages	Languages	Nyelvek	Talen	Idiomas	Limbi	Języki	Jazyky	Jezici	Idiomas	Idiomas	Keeled	Langues	Langues	언어	语言	語言	Jezici	Языки	Diller	Kielet	Езици	Мови	Sprachen	Idiomes	Lingue	言語	Kalbos	اللغات	Тілдер	Språk	wika	बोली	ภาษา	Bahasa	ენები	Valodas	Ngôn Ngữ	Γλώσσες	Мовы	Jazyky	Språk	زبان ها
Store	Store	Bolt	Winkel	Tienda	Magazin	Sklep	Obchod	Prodavnica	Loja	Loja	Pood	Magasin	Boutique	상점	商店	商店	Prodavnica	Магазин	Mağaza	Kauppa	Магазин	Магазин	Shop	Botiga	Negozio	店	Parduotuvė	متجر	Дүкен	Butikk	Tindahan	इकट्ठा करना	ร้านค้า	Toko	მაღაზია	Veikals	Cửa Hàng	Μαγαζί	Крама	Obchod	Affär	فروشگاه
Remove Ads	Remove Ads	Reklámok eltávolítása	Verwijder Advertenties	Quitar anuncios	Scoate Reclamele	Usuń reklamy	Vymazat reklamy	Izbriši Reklame	Remover Anúncios	Remover Anúncios	Eemalda reklaamid	Retirer les pubs	Supprimez les pub	광고 없애기	去除广告	移除廣告	Ukloni reklame	Убрать рекламу	Reklamları Kaldır	Poista Mainokset	Премахни рекламите	Відключити рекламу	Werbung Entfernen	Treure anuncis	Rimuovi Gli Annunci	広告を削除	Pašalinti Reklamas	ازالة الاعلانات	Жарнамаларды жою	Fjern annonser	Tanggalin yung Ads	वि ज्ञापन हटाएँ	ลบโฆษณา	Hapus Iklan	რეკლამების მოცილება	Noņemt reklāmas	Xóa Quảng Cáo	Αφαίρεση διαφημίσεων	Выдаліць рэкламу	Odstrániť reklamy	Ta bort reklam	حذف تبلیغات
100000 Coins	100000 Coins	100000 pénz	100000 munten	100000 monedas	100000 Bani	100000 monet	100000 peněz	100000 novčića	100000 Moedas	100000 Moedas	100000 münti	100000 Dollars	100000 Pièces	100000코인	100000金币	100000硬幣	100000 novčića	100000 Монет	100000 Para	100000 kolikkoa	100000 Монети	100000 Монет	100000 Münzen	100000 Monedes	100000 Monete	100000コイン	100000 Monetų	100000 عملات معدنية	100000 тиын	100000 mynter	100000 barya	100000 सि क्के	100000 เหรียญ	100000 Koin	100000 ლარი	1000000 Monētas	100000 Xu	100000 Κέρματα	100000 манет	100000 Peňazí	100000 mynt	۱۰۰۰۰۰ پول
Buy	Buy	Vásárlás	koop	Comprar	Cumpara	Kup	Zakoupit	Kupi	Comprar	Comprar	Osta	Acheter	Acheter	구매	购买	購買	Kupi	Купить	Satın Al	osta	Купи	Купити	Kaufen	Comprat	Acquista	買う	Pirkti	شراء	сатып алу	Kjøp	bilhin	खरीदना	ซื้อ	Beli	ყიდვა	Pirkt	Mua	Αγορά	Купіць	Kúpiť	köp	خرید
Bought	Bought	Meg vásárolva	gekocht	Comprado	Cumparat	Kupiony	Zakoupeno	Kupljeno	Comprado	Comprado	Ostetud	Acheté	Acheté	구매됨	已购买	已購買	Kupljeno	Куплено	Satın Alındı	ostettu	Купи	Куплено	Gekauft	Comprat	Acquistato	買った	Nupirkta	مُشترى	Сатып алған	Kjøpt	Binili	खरीदा	ซื้อแล้ว	Dibeli	ნაყიდია	Nopirkts	Đã Mua	Αγοράστηκε	Купіў	Kúpil	köpt	خرید
Loading...	Loading...	Betöltés...	Laden...	Cargando...	Incarcare...	Wczytywanie...	Načítám...	Učitavanje...	Carregando...	A Carregar...	Laeb...	Chargement...	Chargement...	로딩중...	载入中...	載入中...	Učitavanje...	Загрузка...	Yükleniyor...	Lataa...	Зареждане...	Завантаження...	Laden...	Carregant…	Caricamento…	読み込んでいます...	Kraunama...	جار التحميل	Жүктелуде...	Laster...	Naglo-load	लोड हो रहा है...	กำลังโหลด...	Memuat	იტვირთება...	Lādējas...	Đang Tải...	Φόρτωση	Загрузка...	Načítavanie...	Laddar...	در حال بارگذاری...
Create	Create	Létrehozás	Maak	Crear	Creeaza	Stwórz	vytvořit	Napravi	Criar	Criar	Loo	Créer	Créer	만들기	创建	創建	Napravi	Создать	Yarat	Luo	Създаване	Створити	Erstellen	Crea	Crea	作成	Sukurti	خلق	Жасау	Opprett	Gumawa	सृजन करना	สร้าง	Membuat	შექმნა	Veidot	Tạo	Δημιουργία	Ствараць	Vytvoriť	Skapa	ایجاد
Scene Settings	Scene Settings	Jelenet Beállítás	Scene Instelling	Ajustes de escena	Setarea Scenei	Ustawienia pokoju	Nastavení scény	Postavke Scene	Configurações da Sala	Definições da Sala	Stseeni seaded	Réglages de scène	Paramètres de scène	방 설정	场景设置	場景設置	Postavke scene	Настройки комнаты	Sahne Ayarı	Kohtaus Asetus	Настройки на Сцената	Налаштування сцени	Szenen Einstellungen	Configuració de la escena	Impostazioni Stanza	シーン設定	Scenos Nustatymai	إعدادات المشهد	көрініс параметрлері	Sceneinstillinger	Mga settings ng eksena	दृश्य सेटि ग्ं स	ตั้งค่าห้อง	Pengaturan Layar	სცენის პარამეტრები	Scenārija Iestatījumi	Cài Đặt Cảnh	Ρυθμίσεις Εικόνας	Налады сцэны	Nastavenia scény	scen inställningar	تنظیمات صحنه
Gravity	Gravity	Gravitáció	Zwaartekracht	Gravedad	Gravitatie	Grawitacja	Gravitace	Gravitacija	Gravidade	Gravidade	Gravitatsioon	Gravité	Gravité	중력	重力	重力	Gravitacija	Гравитация	Yer Çekimi	Painovoima	Гравитация	Гравітація	Gravitation	Gravetat	Gravità	重力	Gravitacija	الجاذبية	гравитация	Gravitasjon	Grabidad	गरुुत्वाकर्षणर्ष	แรงโน้มถ่วง	Gravitasi	გრავიტაცია	Gravitācija	Trọng Lực	Βαρύτητα	Гравітацыя	Gravitácia	Gravitet	جاذبه
ON	ON	Be	AAN	Encendida	ON	Włączona	ON	Uključeno	Ligar	Ligar	SEES	ON	On	ON	开启	開啟	Uključeno	ВКЛ	Açık	Päällä	Включен	Включено	AN	ON	ON	ON	Ijunkta	تشغيل	ҚОСУЛЫ	PÅ	Buksan	पर	เปิด	Hidup	ჩართული	Ieslēgts	BẬT	ΑΝΟΙΧΤΟ	ВКЛ	ON	På	روشن
OFF	OFF	Ki	UIT	Apagada	OFF	Wyłączona	OFF	Isključeno	Desligar	Desligar	VÄLJAS	OFF	OFF	OFF	关闭	關閉	Isključeno	ВЫКЛ	Kapalı	Pois Päältä	Изключен	Виключено	AUS	OFF	OFF	OFF	Išjunkta	إيقاف	ӨШІРУЛІ	AV	Patayin	बदं	ปิด	Mati	გამორთული	Izslēgts	TẮT	ΚΛΕΙΣΤΟ	ВЫКЛ	OFF	Av	خاموش
Room	Room	Szoba	Kamer	Habitación	Camera	Pokój	Místnost	Soba	Sala	Sala	Ruum	Pièce	Pièce	방	房间	房間	Soba	Комната	Oda	Huone	Стая	Кімната	Raum	Habitació	Stanza	部屋	Kambarys	مجال	Бөлме	Rom	Kwarto	कमरा	ห้อง	Ruangan	ოთახი	Istaba	Phòng	Δωμάτιο	Пакой	Miestnosť	Rum	اتاق
Medium	Medium	Közepes	Middelmatig	Medio	Medium	Średni	Střední	Srednje	Média	Média	Keskmine	Médium	Moyen	중간	中	中	Srednja	Средняя	Orta	Keskikokoinen	Среден	Середня	Mittel	Mitjana	Media	中くらい	Vidutinis	متوسط	Орташа	Middels	Katamtaman	मध्यम	ปานกลาง	Sedang	საშუალო	Vidēja	Vừa	Μεσαίο	Сярэдні	Stredná	Medel	متوسط
Large	Large	Nagy	Groot	Grande	Larg	Duży	Velký	Veliko	Grande	Grande	Suur	Large	Grande	대형	大	大	Velika	Большая	Büyük	Iso	Дълъг	Велика	Groß	Gran	Grande	大きい	Didelis	كبير	Үлкен	Stor	Malaki	वि शाल	ใหญ่	Besar	დიდი	Liela	Lớn	Μεγάλο	Вялікі	Veľká	Stort	بزرگ
Restart	Restart	Újrakezdés	Herstart	Reiniciar	Restart	Restart	Restart	Restartuj	Reiniciar	Reiniciar	Taaskäivita	Redémarrer	Redémarrer	재도전	重来	重來	Restart	Перезапуск	Yeniden Başla	Kotiin	Рестартирай	Спочатку	Neustart	Reinicia	Ricomincia	再起動	Restartuoti	اعادة البدء	Қайтадан қосу	Restart	i-restart	पनु र्प्रा रंभ करें	เริ่มต้นใหม่	Membuat Ulang	გადატვირთვა	Restartēt	Khởi Động Lại	Επανεκκίνηση	Перазапуск	Reštartovať	Starta om	شروع مجدد
Home	Home	Otthon	Thuis	Inicio	Acasa	Menu	Domov	Dom	Menu	Menu	Kodu	Accueil	Accueil	시작 화면으로	主菜单	主菜單	Glavni Meni	Домой	Ana Menü	Aloita uudelleen	Дом	Дім	Hauptmenü	Inici	Menu Principale	家	Menių	بيت	Үй	Hjem	Bahay	घर	เมนูหลัก	Menu Utama	სახლი	Sākums	Nhà	Σπίτι	Дадому	Domov	Hem	خانه
How to Remove Component	How to Remove Component	Hogyan távolíts el egy alkatrészt	Hoe moet je component verwijderen	Como quitar un componente	Cum sa Scoti o Componenta	Jak usunąć komponent	Jak smazat komponent	Kako Izbrisati Komponentu	Como Remover Componente	Como Remover Componentes	Kuidas eemaldada juppi	Comment retirer les composants	Comment supprimer un composant	부품 제거 방법	如何移除配件	如何移除配件	Kako ukloniti komponentu	Как убрать компонент	Parça nasıl çıkarılır	Kuinka irroittaa osia	Как се Премахва Компонент	Як вилучити компонент	Wie man eine Komponente entfernt	Com treure un component	Come Rimuovere Un Componente	コンポーネントを削除する方法	Kaip pašalinti Komponentą	كيفية إزالة المكون	Компонентті қалай жоюға болады	Hvordan fjerne en kompnent	kung paano alisin ang mga components	घटक कैसेनि कालें	วิธีถอดส่วนประกอบ	Cara Menghapus Komponen Komputer	როგორ მოვაცილოთ კომპონენტი	Kā izņemt/noņemt komponentu	Cách Loại Bỏ Thành Phần	Πώς να Αφαιρέσετε το Εξάρτημα	Як выдаліць кампанент	Ako odstrániť komponent	Hur man tar av delar	چگونه جزئی را حذف کنیم
How to Build Computer	How to Build Computer	Hogyan építs Számítógépet	Hoe moet je computer bouwen	Como construir un ordenador	Cum sa Construiesti Computer	Jak zbudować komputer	Jak postavit počítač	Kako Napraviti Računar	Como Montar o Computador	Como Montar o Computador	Kuidas ehitada arvutit	Comment construire un ordinateur	Comment construire un ordinateur	컴퓨터 조립 방법	如何组装电脑	如何組裝電腦	Kako napraviti kompjuter	Как собрать компьютер	Bilgisayar nasıl toplanır	Kuinka Rakentaa Tietokone	Как се Строй Компютър	Як побудувати комп'ютер	Wie man einen Computer baut	Com fer un ordinador	Come Costruire un Computer	コンピューターの作り方	Kaip Pastasyti kompiuterį	كيف نبني الكمبيوتر	Компьютерді қалай құрастыруға болады	Hvordan bygge en datamaskin	Kung paano bumuo nga mga components	कंप्यटू र कैसेबनाये	วิธีประกอบคอมพิวเตอร์	Cara Membuat Komputer	როგორ ავაწყოთ კომპიუტერი	Kā būvēt datoru	Cách Tạo Ra Máy Tính	Πώς να Χτίσετε έναν Υ/Η	Як сабраць кампутар	Ako postaviť počítač	Hur man byggern en dator	نحوه ساخت کامپیوتر
click to continue	click to continue	Kattints a folytatáshoz	klik om door te gaan	Toca para continuar	Apasa pentru a continua	Kliknij aby kontynuować	Pokračuj kliknutím	Klikni da nastaviš	Clique para continuar	Clique para continuar	Vajuta, et jätkata	Appuyez pour continuer	Cliquez pour continuer	눌러서 계속하시오	点击继续	點擊繼續	Klikni da bi nastavio	Нажмите чтобы продолжить	devam etmek için tıkla	paina jatkaaksesi	натиснете за да продължите	натисніть щоб продовжити	zum Fortfahren klicken	click para continuar	Clicca per continuare	続けるにはクリック	Paspausk kad testum	انقر للمتابعة	жалғастыру үшін басыңыз	Klikk for å fortsette	I-click upang magpatuloy	जारी रखनेके लि ए चटकाएं	คลิกเพื่อดำเนินการต่อ	Klik Untuk Melanjutkan	დააჭირეთ გასაგრძელებლად	Piespied lai turpinātu	Bấm Để Tiếp Tục	Κάντε κλικ για να Συνεχίσετε	націсніце, каб працягнуць	Klikni pre pokračovanie	Klicka för att fortsätta	برای ادامه ضربه بزنید
Earn	Earn	Szerezz	Verdien	Conseguir	Castiga	Zarabiaj	Získat peníze	Osvoji	Ganhar	Ganhar	Teeni	Gagner	Gagner	돈 벌기	赚钱	賺錢	Zaradi	Заработать	Para Kazan	Ansaitse	Печели	Заробити	Verdienen	Obtenir	Guadagna	無料で5$	Uždirbti	كسب	Табыңыз	Tjen	Kumita	कमाना	ได้รับ	Menghasilkan	შოვნა	Pelnīt	Kiếm	Κέρδισε	Зарабіць	Získať peniaze	Tjärna	دریافت
Free Coins	Free Coins	Ingyen Pénz	Gratis Munt	Monedas gratis	Bani Gratis	Darmowe monety	Peníze zdarma	Besplatni Novčići	Moedas Grátis	Moedas Grátis	Tasuta raha	Argent Gratuit	Pièces gratuites	코인 얻기	免费金币	免費金幣	Besplatni novčići	Бесплатные монеты	Bedava Para	Ilmaista rahaa	Безплатни Монети	Безплатні Монетт	Münzen erhalten	Moneda gratuïta	Monete Gratis	広告を見て10000$	Nemokamos monetos	عملة مجانية	Тегін монета	Gratis mynter	Libreng barya	मफ्ुत सि क्का	เหรียญฟรี	Koin Gratis	უფასო ფული	Bezmaksas Monētas	Xu Miễn Phí	Δωρεάν Κέρματα	Бясплатныя манеты	Peniaze zadarmo	Gratis mynt	کوین رایگان
Lock Rotation	Lock Rotation	Forgás zárolva	Vergrendel Draaien	Bloquear Rotación	Blocheaza Rotire	Zablokuj obrót	Zamknout rotaci	Zaključaj Rotaciju	Bloquear Rotação	Bloquear Rotação	Lukusta pöörlemine	Verr. Rotation	Verrouiller la rotation	회전 잠금	限制转动	限制轉動	Zaključaj rotaciju	Вращение заблокировано	Rotasyonu Kilitle	Lukitse Kierre	Заключи Въртене	Заблокували Обертання	Rotation Sperren	Bloqueja la rotació	Rotazione Bloccata	ロック回転	Užrakinti sukimą	قفل دوران	Айналуды құлыптау	Lås rotasjon	Lock ng pag-ikot	लॉक रोटेशन	ล็อคการหมุน	Kunci Rotasi	ობოექტის ბრუნვა დაბლოკილია	Bloķēt rotāciju	Khóa Xoay	Κλείδωμα Περιστροφής	Кручэнне замка	Zamknúť rotáciu	Lås rotering	قفل چرخش
Unlock Rotation	Unlock Rotation	Szabad forgás	Ontgrendel Draaien	Desbloquear Rotación	Deblochează Rotire	Odblokuj obrót	Odemknout rotaci	Otključaj Rotaciju	Desbloquear Rotação	Desbloquear Rotação	Tee lukust lahti pöörlemine	Déverr. Rotation	Déverrouiller la rotation	회전 잠금 해제	自由转动	自由轉動	Otključaj rotaciju	Вращение разблокировано	Rotasyon Kilidini Aç	Avaa Kierre	Отключи Въртене	Розблокувати Обертання	Rotation Entsperren	Desbloqueja la rotació	Rotazione Sbloccata	ロックを解除する	Atrakinti sukimą	فتح الدوران	Айналдыру құлпын ашу	Opplås rotasjon	I-unlock ang pag-ikot	अनलॉक रोटेशन	ปลดล็อกการหมุน	Buka Kunci Rotasi	ობიექტის ბრუვნა გახსნილია	Atbloķēt rotāciju	Mở Khóa Xoay	Ξεκλείδωμα Περιστροφής	Разблакіраваць паварот	Odomknúť rotáciu	Låsupp rotering	‌باز کردن قفل چرخش
Click to Remove Component	Click to Remove Component	Kattints arra az elemre amelyiket eltávolítod	Klik om de component te verwijderen	Toca para quitar el componente	Apasa pentru scoaterea componentelor	Naciśnij by usuwać komponenty	Klikni pro smazání komponentu	Klikni Da Izbrišeš Komponentu	Clique para remover componente	Clica para remover componente	Vajuta, et eemaldada jupp	Appuyer pour enlever un composant	Appuyer pour retirer un composant	누르면 부품이 탈거됩니다	点击移除组件	點擊移除組件	Klikni da bi izvadio komponentu	Нажмите чтобы убрать компонент	Parça çıkarmak için tıkla	Paina Irroittaaksesi Osan	Натисни За Да Премахнеш Компонент	Натисніть щоб вилучити компонент	Zum Entfernen der Komponente klicken	Click per treure un component	Rimuovi Componente	クリックしてコンポーネントを削除	Spustelėkite norėdami pašalinti komponentą	انقر لإزالة المكون	Компонентті жою үшін басыңыз	Klikk for å fjerne en komponent	I-click para tanggalin yung components	घटक को हटानेके लि ए क्लि क करें	คลิกเพื่อถอดส่วนประกอบ	Klik Untuk Menghapus	დააჭირეთ კომპონენტს მოსაშორებლად	Piespied lai noņemtu komponentu	Bấm Để Xóa	Πατήστε για να διαγράψετε	Націсніце, каб выдаліць кампанент	Klikni pre odstránenie	Klicka för att ta bort en del	برای حذف جزء ضربه بزنید
Select Monitor	Select Monitor	Válaszd ki a képernyőt	Kies Beeldscherm	Selecciona el monitor	Alege Monitor	Wybierz monitor	Vybrat monitor	Izaberi Monitor	Selecione o Monitor	Seleciona o Monitor	Vali Monitor	Sélectionner un écran	Sélectionnez le moniteur	모니터 선택	选择显示器	選擇顯示器	Izaberi monitor	Выберите монитор	Monitör seç	Valitse Näyttö	Избери Монитор	Виберіть Монітор	Wähle einen Monitor	Selecciona Monitor	Seleziona Monitor	モニターを選択	Pasirinkite monitorių	حدد الشاشة	Мониторды таңдаңыз	Velg en skjerm	Piliin ang monitor	मॉनि टर का चयन करें	เลือกจอมอนิเตอร์	Pilih Monitor	შეეხეთ მონიტორს	Izvēlies Monitoru	Chọn Màn Hình	Επιλογή Οθόνης	Выберыце Манітор	Vyber monitor	Välja monitor	صفحه نمایش انتخاب کنید
